,0,1,2
0,3.790392933855255e-18,6.0336124454836855e-12,-4.671808897103076e-12
1,-5.970593627061813e-17,-6.745529894618957e-12,-8.986927945467556e-12
2,8.088159618414265e-17,9.80406585082915e-12,-6.75383493486301e-12
3,5.844991098675926e-17,8.005280292834363e-12,-5.515040792559671e-12
4,-5.096366445062688e-17,-5.523686488638282e-12,-7.35856020599417e-12
5,8.432335439123709e-18,-6.555753564976096e-12,-8.479024228856457e-12
6,0.0,0.0,0.0
7,-1.0767858104049367e-16,-4.4867999516234185e-12,-6.659807366863172e-15
8,7.630433409496897e-17,9.806378515798778e-12,-6.755440465027573e-12
9,2.862814815121709e-17,-2.2734221220467142e-11,7.163206463239719e-12
10,4.169204638020364e-17,-3.216977074536626e-11,1.0136246385454487e-11
11,-6.085678360704596e-17,1.2696093265267441e-11,-3.1444838247276255e-12
12,0.0,0.0,0.0
13,4.483240537192472e-17,-3.943268701652167e-11,1.2424686881659307e-11
14,-3.165648802795811e-19,4.817622826920361e-12,6.731060773817933e-12
15,-1.1266793023729239e-15,7.564714349838011e-14,-6.8624535103039535e-12
16,6.801120071708179e-17,-1.2660472914913687e-11,6.725061022436153e-12
17,4.946052443346962e-12,-1.168680308599943e-11,1.6847348525217696e-12
18,6.056515642252662e-12,-1.4310475814400426e-11,2.0629227319578566e-12
19,6.052832303800998e-12,-1.4301805654691564e-11,2.061609973926551e-12
20,3.4923913133398922e-12,-8.251982901503502e-12,1.189496276527902e-12
21,3.180596871523385e-17,-3.2200247702929286e-11,1.0145455954918619e-11
22,3.050115553385205e-17,-2.2751725881423692e-11,7.168476836417471e-12
23,6.051568702953901e-12,-1.4298886361978792e-11,2.061370932912395e-12
24,0.0,0.0,0.0
25,4.094658848533814e-17,-3.941280358578823e-11,1.2417899193276904e-11
26,4.1558162005096235e-13,-3.12261805178484e-11,3.028730941990666e-11
27,4.1703921730859645e-17,-3.218108521277196e-11,1.0139313487889909e-11
28,5.014113957616136e-17,-3.9389766046275256e-11,1.2410632118985616e-11
29,4.599151877960574e-17,5.654402664157096e-12,-3.8952999025398614e-12
30,2.401081780614455e-13,-1.8049358510710738e-11,1.750681903089683e-11
31,-1.0709126542999271e-16,-2.5899840639115423e-12,-3.710680059539302e-15
32,0.0,0.0,0.0
33,-1.8233470784463404e-16,-4.487987705994959e-12,-6.394111248015863e-15
34,-2.209592707896319e-11,7.925687559394858e-12,-1.3163781587346634e-11
35,-7.63596789163463e-17,-6.760734491281405e-12,-9.006445703045992e-12
36,1.086520394525038e-11,2.7944299355406703e-11,1.5550693737927453e-11
